gene_id	HER2.1	HER2.2	HER2.3	NBS1	NBS2	NBS3	Non.TNBC1	Non.TNBC2	Non.TNBC3	TNBC1	TNBC2	TNBC3
ENSG00000008282	343	580	265	923	1238	1912	866	243	299	426	103	387
ENSG00000008283	254	325	719	1002	801	876	2024	1048	1032	681	103	554
ENSG00000008294	2191	1343	616	1985	4123	5216	1481	1113	964	1532	144	751
ENSG00000008300	108	54	32	52	131	43	124	345	188	62	7	41
ENSG00000008311	145	28	49	353	520	547	125	92	105	53	13	104
ENSG00000008323	63	48	21	194	241	338	33	33	26	113	39	37
ENSG00000008324	56	239	74	217	115	157	112	69	68	77	22	55
ENSG00000008382	34	38	39	254	148	116	148	201	89	50	23	26
ENSG00000008394	152	448	263	1350	837	905	846	940	324	771	41	439
ENSG00000008405	208	224	110	1613	2707	1746	460	117	180	214	28	142
ENSG00000008438	2	0	1	0	2	0	3	3	14	7	1	7
ENSG00000008441	142	1544	41	1607	1845	2882	289	194	241	1325	239	128
ENSG00000008513	644	1992	464	708	1758	2150	616	1235	1423	680	193	1182
ENSG00000008516	32	26	40	116	86	57	20	35	18	16	5	9
ENSG00000008517	106	39	162	748	796	336	327	86	128	188	83	229
ENSG00000008710	181	223	158	701	947	915	376	471	420	230	56	131
ENSG00000008735	34	142	65	71	46	48	686	223	105	270	3	15
ENSG00000008838	202	267	516	752	1611	1860	433	406	404	364	80	798
ENSG00000008853	133	77	76	375	622	693	219	219	154	115	23	135
ENSG00000008869	549	566	529	443	577	717	1443	462	562	414	72	246
ENSG00000008952	663	880	1091	1528	2012	2887	4991	980	1327	988	290	1142
ENSG00000008988	1905	2782	2645	12950	8972	7421	3204	1628	1774	1627	845	1859
ENSG00000009307	2807	3635	3107	10522	9310	11760	6431	2691	2656	3223	1488	2071
ENSG00000009335	689	1899	970	796	1283	1556	1098	909	724	1340	258	690
ENSG00000009413	675	1217	544	354	722	1256	635	307	423	597	166	366
ENSG00000009694	91	12	52	16	75	53	48	15	24	39	0	38
ENSG00000009709	0	1	6	0	0	0	9	7	12	18	1	45
ENSG00000009724	76	148	68	316	374	444	166	103	101	78	31	53
ENSG00000009765	13	0	403	0	15	0	8	15	24	21	0	209
ENSG00000009780	64	73	79	95	107	133	281	115	104	96	24	89
ENSG00000009790	248	274	209	160	73	72	199	67	104	293	15	137
ENSG00000009830	56	98	77	314	330	312	99	105	95	144	29	96
ENSG00000009844	194	469	317	375	365	396	1388	249	328	168	82	251
ENSG00000009950	3	0	2	33	42	12	6	10	8	30	2	29
ENSG00000009954	799	1546	823	838	1076	2234	1047	591	726	1365	167	743
ENSG00000010017	439	563	605	755	752	1155	700	439	458	387	102	325
ENSG00000010030	27	61	56	27	39	22	74	8	14	267	6	39
ENSG00000010072	160	221	143	109	169	278	258	111	92	158	54	104
